LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
-23.22799,-45.86699,2020,2,1,4.05
-23.22799,-45.86699,2020,2,2,3.2
-23.22799,-45.86699,2020,2,3,2.95
-23.22799,-45.86699,2020,2,4,4.22
-23.22799,-45.86699,2020,2,5,4.32
-23.22799,-45.86699,2020,2,6,5.56
-23.22799,-45.86699,2020,2,7,5.8
-23.22799,-45.86699,2020,2,8,7.42
-23.22799,-45.86699,2020,2,9,6.09
-23.22799,-45.86699,2020,2,10,1.81
-23.22799,-45.86699,2020,2,11,3.14
-23.22799,-45.86699,2020,2,12,3.08
-23.22799,-45.86699,2020,2,13,5.97
-23.22799,-45.86699,2020,2,14,6.47
-23.22799,-45.86699,2020,2,15,7.34
-23.22799,-45.86699,2020,2,16,4.8
-23.22799,-45.86699,2020,2,17,7.01
-23.22799,-45.86699,2020,2,18,7.06
-23.22799,-45.86699,2020,2,19,6.57
-23.22799,-45.86699,2020,2,20,5.8
-23.22799,-45.86699,2020,2,21,1.96
-23.22799,-45.86699,2020,2,22,2.58
-23.22799,-45.86699,2020,2,23,3.17
-23.22799,-45.86699,2020,2,24,5.46
-23.22799,-45.86699,2020,2,25,6.01
-23.22799,-45.86699,2020,2,26,2.19
-23.22799,-45.86699,2020,2,27,2.57
-23.22799,-45.86699,2020,2,28,2.48
-23.22799,-45.86699,2020,2,29,4.12
-23.22799,-45.86699,2020,3,1,2.87
-23.22799,-45.86699,2020,3,2,2.93
-23.22799,-45.86699,2020,3,3,5.13
-23.22799,-45.86699,2020,3,4,4.41
-23.22799,-45.86699,2020,3,5,7.01
-23.22799,-45.86699,2020,3,6,6.78
-23.22799,-45.86699,2020,3,7,6.39
-23.22799,-45.86699,2020,3,8,5.56
-23.22799,-45.86699,2020,3,9,6.74
-23.22799,-45.86699,2020,3,10,6.85
-23.22799,-45.86699,2020,3,11,6.81
-23.22799,-45.86699,2020,3,12,6.63
-23.22799,-45.86699,2020,3,13,5.9
-23.22799,-45.86699,2020,3,14,6.25
-23.22799,-45.86699,2020,3,15,6.04
-23.22799,-45.86699,2020,3,16,6.51
-23.22799,-45.86699,2020,3,17,5.58
-23.22799,-45.86699,2020,3,18,6.65
-23.22799,-45.86699,2020,3,19,3.73
-23.22799,-45.86699,2020,3,20,2.57
-23.22799,-45.86699,2020,3,21,2.97
-23.22799,-45.86699,2020,3,22,5.92
-23.22799,-45.86699,2020,3,23,6.6
-23.22799,-45.86699,2020,3,24,6
-23.22799,-45.86699,2020,3,25,6.5
-23.22799,-45.86699,2020,3,26,6.61
-23.22799,-45.86699,2020,3,27,6.36
-23.22799,-45.86699,2020,3,28,5.17
-23.22799,-45.86699,2020,3,29,3.89
-23.22799,-45.86699,2020,3,30,5.39
-23.22799,-45.86699,2020,3,31,4.6
-23.22799,-45.86699,2020,4,1,5.24
-23.22799,-45.86699,2020,4,2,6.07
-23.22799,-45.86699,2020,4,3,4.17
-23.22799,-45.86699,2020,4,4,5.58
-23.22799,-45.86699,2020,4,5,6.02
-23.22799,-45.86699,2020,4,6,6.06
-23.22799,-45.86699,2020,4,7,2.03
-23.22799,-45.86699,2020,4,8,2.22
-23.22799,-45.86699,2020,4,9,5.75
-23.22799,-45.86699,2020,4,10,5.88
-23.22799,-45.86699,2020,4,11,4.3
-23.22799,-45.86699,2020,4,12,4.66
-23.22799,-45.86699,2020,4,13,5.12
-23.22799,-45.86699,2020,4,14,3.53
-23.22799,-45.86699,2020,4,15,3.99
-23.22799,-45.86699,2020,4,16,2.84
-23.22799,-45.86699,2020,4,17,1.84
-23.22799,-45.86699,2020,4,18,4.18
-23.22799,-45.86699,2020,4,19,5.03
-23.22799,-45.86699,2020,4,20,5.22
-23.22799,-45.86699,2020,4,21,5.43
-23.22799,-45.86699,2020,4,22,4.58
-23.22799,-45.86699,2020,4,23,4.81
-23.22799,-45.86699,2020,4,24,5.05
-23.22799,-45.86699,2020,4,25,5.37
-23.22799,-45.86699,2020,4,26,5.39
-23.22799,-45.86699,2020,4,27,5.18
-23.22799,-45.86699,2020,4,28,5.03
-23.22799,-45.86699,2020,4,29,5.25
-23.22799,-45.86699,2020,4,30,4.69
-23.22799,-45.86699,2020,5,1,4.68
-23.22799,-45.86699,2020,5,2,2.65
-23.22799,-45.86699,2020,5,3,3.88
-23.22799,-45.86699,2020,5,4,4.58
-23.22799,-45.86699,2020,5,5,4.9
-23.22799,-45.86699,2020,5,6,3.46
-23.22799,-45.86699,2020,5,7,1.59
-23.22799,-45.86699,2020,5,8,3.68
-23.22799,-45.86699,2020,5,9,4.9
-23.22799,-45.86699,2020,5,10,4.96
-23.22799,-45.86699,2020,5,11,4.94
-23.22799,-45.86699,2020,5,12,4.79
-23.22799,-45.86699,2020,5,13,3.08
-23.22799,-45.86699,2020,5,14,2.23
-23.22799,-45.86699,2020,5,15,1.74
-23.22799,-45.86699,2020,5,16,3.72
-23.22799,-45.86699,2020,5,17,4.55
-23.22799,-45.86699,2020,5,18,4.25
-23.22799,-45.86699,2020,5,19,4.15
-23.22799,-45.86699,2020,5,20,4.41
-23.22799,-45.86699,2020,5,21,4.47
-23.22799,-45.86699,2020,5,22,2.83
-23.22799,-45.86699,2020,5,23,2.31
-23.22799,-45.86699,2020,5,24,1.2
-23.22799,-45.86699,2020,5,25,4.58
-23.22799,-45.86699,2020,5,26,4.59
-23.22799,-45.86699,2020,5,27,4.25
-23.22799,-45.86699,2020,5,28,3.91
-23.22799,-45.86699,2020,5,29,4.38
-23.22799,-45.86699,2020,5,30,4.45
-23.22799,-45.86699,2020,5,31,4.41
-23.22799,-45.86699,2020,6,1,4.22
-23.22799,-45.86699,2020,6,2,2.15
-23.22799,-45.86699,2020,6,3,2.93
-23.22799,-45.86699,2020,6,4,1.96
-23.22799,-45.86699,2020,6,5,2.38
-23.22799,-45.86699,2020,6,6,1.79
-23.22799,-45.86699,2020,6,7,3.46
-23.22799,-45.86699,2020,6,8,3.97
-23.22799,-45.86699,2020,6,9,3.68
-23.22799,-45.86699,2020,6,10,2.34
-23.22799,-45.86699,2020,6,11,3.91
-23.22799,-45.86699,2020,6,12,3.84
-23.22799,-45.86699,2020,6,13,3.94
-23.22799,-45.86699,2020,6,14,1.24
-23.22799,-45.86699,2020,6,15,2.68
-23.22799,-45.86699,2020,6,16,2.96
-23.22799,-45.86699,2020,6,17,3.7
-23.22799,-45.86699,2020,6,18,4.09
-23.22799,-45.86699,2020,6,19,4.02
-23.22799,-45.86699,2020,6,20,4.06
-23.22799,-45.86699,2020,6,21,3.87
-23.22799,-45.86699,2020,6,22,4.02
-23.22799,-45.86699,2020,6,23,3.62
-23.22799,-45.86699,2020,6,24,4.08
-23.22799,-45.86699,2020,6,25,3.75
-23.22799,-45.86699,2020,6,26,1.23
-23.22799,-45.86699,2020,6,27,0.58
-23.22799,-45.86699,2020,6,28,2.14
-23.22799,-45.86699,2020,6,29,3.1
-23.22799,-45.86699,2020,6,30,3.3
-23.22799,-45.86699,2020,7,1,1.16
-23.22799,-45.86699,2020,7,2,3.44
-23.22799,-45.86699,2020,7,3,2.91
-23.22799,-45.86699,2020,7,4,3.98
-23.22799,-45.86699,2020,7,5,4.08
-23.22799,-45.86699,2020,7,6,3.94
-23.22799,-45.86699,2020,7,7,4
-23.22799,-45.86699,2020,7,8,4.1
-23.22799,-45.86699,2020,7,9,1.6
-23.22799,-45.86699,2020,7,10,3.35
-23.22799,-45.86699,2020,7,11,4.13
-23.22799,-45.86699,2020,7,12,3.82
-23.22799,-45.86699,2020,7,13,3.87
-23.22799,-45.86699,2020,7,14,1.81
-23.22799,-45.86699,2020,7,15,1.54
-23.22799,-45.86699,2020,7,16,2.47
-23.22799,-45.86699,2020,7,17,3.15
-23.22799,-45.86699,2020,7,18,3.7
-23.22799,-45.86699,2020,7,19,4.34
-23.22799,-45.86699,2020,7,20,4.48
-23.22799,-45.86699,2020,7,21,4.45
-23.22799,-45.86699,2020,7,22,4.44
-23.22799,-45.86699,2020,7,23,4.44
-23.22799,-45.86699,2020,7,24,4.55
-23.22799,-45.86699,2020,7,25,4.51
-23.22799,-45.86699,2020,7,26,2.56
-23.22799,-45.86699,2020,7,27,4.53
-23.22799,-45.86699,2020,7,28,4.48
-23.22799,-45.86699,2020,7,29,1.77
-23.22799,-45.86699,2020,7,30,1.44
-23.22799,-45.86699,2020,7,31,3.38
-23.22799,-45.86699,2020,8,1,3.97
-23.22799,-45.86699,2020,8,2,4.53
-23.22799,-45.86699,2020,8,3,4.44
-23.22799,-45.86699,2020,8,4,4.47
-23.22799,-45.86699,2020,8,5,4.75
-23.22799,-45.86699,2020,8,6,4.81
-23.22799,-45.86699,2020,8,7,4.82
-23.22799,-45.86699,2020,8,8,4.69
-23.22799,-45.86699,2020,8,9,4.26
-23.22799,-45.86699,2020,8,10,4.82
-23.22799,-45.86699,2020,8,11,4.77
-23.22799,-45.86699,2020,8,12,4.77
-23.22799,-45.86699,2020,8,13,3.79
-23.22799,-45.86699,2020,8,14,4.16
-23.22799,-45.86699,2020,8,15,2.97
-23.22799,-45.86699,2020,8,16,0.62
-23.22799,-45.86699,2020,8,17,2.13
-23.22799,-45.86699,2020,8,18,1.42
-23.22799,-45.86699,2020,8,19,4.74
-23.22799,-45.86699,2020,8,20,1.41
-23.22799,-45.86699,2020,8,21,0.28
-23.22799,-45.86699,2020,8,22,2.77
-23.22799,-45.86699,2020,8,23,5.23
-23.22799,-45.86699,2020,8,24,5.35
-23.22799,-45.86699,2020,8,25,4.72
-23.22799,-45.86699,2020,8,26,5.48
-23.22799,-45.86699,2020,8,27,5.48
-23.22799,-45.86699,2020,8,28,5.54
-23.22799,-45.86699,2020,8,29,5.43
-23.22799,-45.86699,2020,8,30,5.59
-23.22799,-45.86699,2020,8,31,4.63
-23.22799,-45.86699,2020,9,1,2.16
-23.22799,-45.86699,2020,9,2,3.48
-23.22799,-45.86699,2020,9,3,5.55
-23.22799,-45.86699,2020,9,4,4.9
-23.22799,-45.86699,2020,9,5,5.44
-23.22799,-45.86699,2020,9,6,5.54
-23.22799,-45.86699,2020,9,7,5.35
-23.22799,-45.86699,2020,9,8,4.1
-23.22799,-45.86699,2020,9,9,3.88
-23.22799,-45.86699,2020,9,10,5.58
-23.22799,-45.86699,2020,9,11,4.81
-23.22799,-45.86699,2020,9,12,5.69
-23.22799,-45.86699,2020,9,13,5.55
-23.22799,-45.86699,2020,9,14,5.93
-23.22799,-45.86699,2020,9,15,3.74
-23.22799,-45.86699,2020,9,16,5.82
-23.22799,-45.86699,2020,9,17,-999
-23.22799,-45.86699,2020,9,18,2.31
-23.22799,-45.86699,2020,9,19,4.78
-23.22799,-45.86699,2020,9,20,1.33
-23.22799,-45.86699,2020,9,21,1.06
-23.22799,-45.86699,2020,9,22,1.37
-23.22799,-45.86699,2020,9,23,3.73
-23.22799,-45.86699,2020,9,24,5.52
-23.22799,-45.86699,2020,9,25,5.13
-23.22799,-45.86699,2020,9,26,6.04
-23.22799,-45.86699,2020,9,27,6.18
-23.22799,-45.86699,2020,9,28,3.59
-23.22799,-45.86699,2020,9,29,3.89
-23.22799,-45.86699,2020,9,30,6.32
-23.22799,-45.86699,2020,10,1,6.57
-23.22799,-45.86699,2020,10,2,6.64
-23.22799,-45.86699,2020,10,3,4.9
-23.22799,-45.86699,2020,10,4,3.55
-23.22799,-45.86699,2020,10,5,5.59
-23.22799,-45.86699,2020,10,6,5.61
-23.22799,-45.86699,2020,10,7,5.3
-23.22799,-45.86699,2020,10,8,2.87
-23.22799,-45.86699,2020,10,9,0.74
-23.22799,-45.86699,2020,10,10,5.69
-23.22799,-45.86699,2020,10,11,6.83
-23.22799,-45.86699,2020,10,12,7.04
-23.22799,-45.86699,2020,10,13,7.16
-23.22799,-45.86699,2020,10,14,6.02
-23.22799,-45.86699,2020,10,15,1.8
-23.22799,-45.86699,2020,10,16,0.97
-23.22799,-45.86699,2020,10,17,3.02
-23.22799,-45.86699,2020,10,18,6.02
-23.22799,-45.86699,2020,10,19,6.03
-23.22799,-45.86699,2020,10,20,5.58
-23.22799,-45.86699,2020,10,21,6.38
-23.22799,-45.86699,2020,10,22,6.72
-23.22799,-45.86699,2020,10,23,6.74
-23.22799,-45.86699,2020,10,24,1.78
-23.22799,-45.86699,2020,10,25,2.86
-23.22799,-45.86699,2020,10,26,6.39
-23.22799,-45.86699,2020,10,27,6.36
-23.22799,-45.86699,2020,10,28,7.67
-23.22799,-45.86699,2020,10,29,6.48
-23.22799,-45.86699,2020,10,30,1.58
-23.22799,-45.86699,2020,10,31,2.34
-23.22799,-45.86699,2020,11,1,3.08
-23.22799,-45.86699,2020,11,2,6.58
-23.22799,-45.86699,2020,11,3,4.04
-23.22799,-45.86699,2020,11,4,6.65
-23.22799,-45.86699,2020,11,5,4.61
-23.22799,-45.86699,2020,11,6,7.48
-23.22799,-45.86699,2020,11,7,6.51
-23.22799,-45.86699,2020,11,8,7.28
-23.22799,-45.86699,2020,11,9,5.47
-23.22799,-45.86699,2020,11,10,4
-23.22799,-45.86699,2020,11,11,6.73
-23.22799,-45.86699,2020,11,12,5.45
-23.22799,-45.86699,2020,11,13,4.34
-23.22799,-45.86699,2020,11,14,6.23
-23.22799,-45.86699,2020,11,15,8.01
-23.22799,-45.86699,2020,11,16,2.69
-23.22799,-45.86699,2020,11,17,3.36
-23.22799,-45.86699,2020,11,18,2.84
-23.22799,-45.86699,2020,11,19,2.09
-23.22799,-45.86699,2020,11,20,5
-23.22799,-45.86699,2020,11,21,-999
-23.22799,-45.86699,2020,11,22,-999
-23.22799,-45.86699,2020,11,23,-999
-23.22799,-45.86699,2020,11,24,-999
-23.22799,-45.86699,2020,11,25,-999
-23.22799,-45.86699,2020,11,26,-999
-23.22799,-45.86699,2020,11,27,-999
-23.22799,-45.86699,2020,11,28,-999
